SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1329.25,1333,1314,1316.05,1314,1318.4,199,800,1057155,
500003,AEGIS LOGIS ,A ,Q,189.9,189.9,182.05,183.4,183,186.05,564,10230,1899725,
500008,AMAR RAJA BA,A ,Q,630,630,617.2,620.7,622.75,622.2,328,10706,6658915,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
500074,BPL LTD.    ,B ,Q,15.55,17.2,15.45,16.7,16.6,15.4,194,11364,188836,
500078,OAL         ,B ,Q,183,183.05,183,183.05,183,180.55,5,94,17204,
500083,CENTURY EXT ,B ,Q,2.85,2.85,2.6,2.6,2.6,2.75,11,1804,4771,
500084,CESC LTD.   ,A ,Q,764.1,767.9,757.4,764.3,762.5,754.3,134,1738,1324950,
500085,CHAMBAL FERT,A ,Q,159,164.5,159,161.65,161.65,157.25,562,16147,2604703,
500086,EXIDE IND.  ,A ,Q,175,178.5,173.8,178,178,173.1,747,44229,7816502,
500087,CIPLA LTD.  ,A ,Q,471,479.4,470.75,478.35,478.35,471.15,711,35367,16824143,
500089,DIC INDIA   ,B ,Q,309,325,309,321.7,312.25,298.8,21,1025,329126,
500092,CRISIL LTD  ,A ,Q,1282,1294.2,1255.05,1269,1265.1,1290.2,249,1365,1729556,
500093,CGPOWER     ,A ,Q,12.03,12.03,12.03,12.03,12.03,11.46,31,7958,95734,
500096,DABUR (I)   ,A ,Q,443,445.35,437.45,439.05,438,442.15,490,24931,11000538,
500097,DALMIASUG   ,B ,Q,78.45,78.45,74.6,75.5,75.45,76.5,111,3878,293607,
500101,ARVIND Ltd  ,A ,Q,46.95,50.65,46.75,49.4,49.4,46.6,2350,1056481,52116261,
500102,BALARPUR IND,B ,Q,0.64,0.67,0.64,0.64,0.64,0.67,49,181275,116116,
500103,BHEL        ,A ,Q,50.25,52.45,50.25,51.15,51.15,50.05,3318,1759297,90562407,
500104,HIND.PETRO  ,A ,Q,256.8,274.9,255.4,264.85,264.85,257.05,5719,499518,133277463,
500106,IFCI LTD    ,A ,Q,7.05,7.36,7.05,7.11,7.11,7.02,237,98067,702601,
500108,MAHA.TELE   ,B ,Q,5.37,5.6,5.29,5.54,5.57,5.37,170,131554,718281,
500109,MRPL        ,A ,Q,46.95,49.6,45.6,46.75,46.45,45.25,930,97762,4692356,
500110,CHENNAI PET.,A ,Q,187.9,197.35,187.9,189.45,188.4,186.2,869,16040,3088708,
500111,REL.CAP.    ,A ,Q,34.2,35.6,33.2,35.1,35.1,34.15,5605,3073853,105866020,
500112,STATE BANK  ,A ,Q,275.4,276.3,271.15,273.15,273.15,274.95,6977,1163219,317968778,
500113,STEEL AUTH. ,A ,Q,32.8,33.25,32.1,32.45,32.45,32.25,2182,1972582,64455040,
500114,TITAN       ,A ,Q,1039.8,1053.05,1036.8,1048.7,1048.7,1037.5,3032,100615,105239157,
500116,IDBI BANK L ,A ,Q,27.5,27.85,26.35,27.25,27.25,27.05,1783,945777,25578856,
500117,DCW LTD.    ,B ,Q,15.6,16.1,15.35,15.45,15.4,15.6,72,20401,319781,
500119,DHAMPUR SUGA,B ,Q,146.75,149.8,146.5,147.55,147.55,146.75,543,31795,4693980,
500120,DIAMINES&CHM,X ,Q,111,111.35,107.2,107.25,107.2,110,25,1049,114573,
500123,ELANTAS     ,B ,Q,2017.45,2025,1969.95,1982.35,1990,2014.65,77,896,1793085,
500124,DR.REDDY'S  ,A ,Q,2620,2691.85,2620,2681.45,2681.45,2601.7,2589,23970,63932292,
500125,E.I.D.PAR   ,A ,Q,148.3,149.5,148,148.45,148.5,148.65,241,26111,3873472,
500126,PGHL        ,A ,Q,4046,4136.1,4029,4043.35,4043.35,4040.05,230,610,2476563,
500128,ELEC.CASTING,B ,Q,14.64,16.84,14.64,15.79,15.76,14.6,210,33956,530871,
500133,ESAB INDIA  ,B ,Q,994.4,1008.6,994.4,1007,1007,1001.65,9,121,121244,
500135,ESSEL PROP  ,B ,Q,103.75,105.15,102.05,103.5,103.6,105.05,98,2808,291582,
500136,ESTER INDUS.,B ,Q,33.7,33.7,32.15,32.95,32.95,31.95,287,6857,223467,
500141,FERRO ALLOYS,X ,Q,2.9,2.98,2.75,2.87,2.88,2.88,31,13060,37734,
500143,P.H.CAPITAL ,X ,Q,15.05,15.05,15.05,15.05,15.05,14.37,2,84,1264,
500144,FINOL. CABLE,A ,Q,365.95,367.9,364.5,366.5,366.5,363.35,191,1587,580819,XD
500147,CMI FPE     ,X ,Q,772.05,798,772.05,775,774,796.85,8,96,75024,
500148,UFLEX LTD   ,A ,Q,203.25,208.2,202,204.15,203,205.25,1781,21552,4427677,
500150,FOSECO INDIA,B ,Q,1230,1230,1200.05,1226.75,1230,1205.7,50,102,125129,
500151,GOLDEN TOB  ,B ,Q,28.3,30,28.3,29.8,30,29.5,10,720,21248,
500153,GANESH BENZO,X ,Q,30.05,30.65,29.15,30.05,30.3,29.65,114,33862,1015969,
500155,GARDEN SILK ,B ,Q,9.4,9.69,9.3,9.69,9.69,9.64,17,1820,17488,
500159,METROGLOBL  ,X ,Q,48,49.95,43.25,44.55,44.55,51.95,33,2919,132298,
500160,GTL LTD.    ,B ,Q,2.4,2.4,2.21,2.25,2.25,2.3,15,7388,16772,
500163,GODFREY PH  ,A ,Q,1001,1006.6,977.45,986.95,986,989.7,1240,18001,17897744,
500164,GODREJ IND  ,A ,Q,400,402.6,396.1,398.35,397.1,400.15,698,18818,7515970,
500165,KANSAI NERO ,A ,Q,465,466,459.75,462.35,462.85,463.5,237,4803,2220530,
500166,GOODRICKE   ,X ,Q,162,162,158.15,159.7,158.55,163,57,3477,554798,
500168,GOODYEAR (I),B ,Q,891.55,905.5,891.45,902.95,905.5,895.35,36,552,497281,
500170,GTN INDUS   ,B ,Q,6.2,6.2,5.55,6.2,6.2,6.05,3,1010,5937,
500171,GHCL LTD    ,A ,Q,196.3,196.4,190.55,190.95,190.85,192.9,102,2641,506239,
500173,GFLLIMITED  ,B ,Q,57.65,57.65,57.65,57.65,57.65,54.95,25,3378,194741,
500179,HCL INFOSYS ,B ,Q,8.01,8.06,7.87,7.92,7.97,7.85,188,78971,628933,
500180,HDFC BANK   ,A ,Q,2255,2272,2226.9,2234.7,2234.7,2247.55,5646,142498,320100850,
500182,HEROMOTOCO  ,A ,Q,2570,2612,2568.5,2603.8,2605.75,2566.25,921,12831,33248961,
500183,HIMACHAL FUT,A ,Q,18.55,18.65,18.4,18.45,18.45,18.45,410,90475,1674037,
500184,HSCL        ,A ,Q,77.05,78.15,74.6,74.75,74.75,76.5,971,28985,2205123,
500185,HIND.CONSTN.,A ,Q,8,8.28,7.95,8.02,8.02,8.02,266,113820,916920,
500186,HIND.OIL EXP,B ,Q,94.9,97.2,94.25,94.8,94.4,93.25,277,16149,1539349,
500187,HSIL        ,B ,Q,47.6,48.2,46.1,46.55,46.1,47.05,198,13555,639505,
500188,HINDUS.ZI   ,A ,Q,216.9,219.65,214.75,215.15,215.65,214.65,648,27946,6064680,
500189,HINDUJA VENT,B ,Q,362,362,349,357.4,357.4,359.3,46,1473,521328,
500191,HMT LTD.    ,Z ,Q,12.35,12.39,11.7,12.29,12.29,12.3,10,753,8907,
500192,PRAG BOSIMI ,XT,Q,3,3,3,3,3,3,3,1700,5100,
500193,HOTEL LEELA.,B ,Q,6.74,7.01,6.74,6.97,6.94,6.76,67,19888,136059,
500199,I.G.PETRO   ,B ,Q,139.2,145.05,136.15,137.7,136.35,137.2,236,2192,305260,
500201,IND.GLYCOLS ,B ,Q,192.5,195.55,191,191.5,191.5,192.6,275,3927,760467,
500207,INDO RAMA   ,B ,Q,30.75,33.05,29.55,30.35,30.35,30.85,191,18680,587349,
500209,INFOSYS LTD ,A ,Q,827.1,837,826.4,834.2,834.2,821.05,8205,252694,210397897,
500210,INGERSOLL   ,B ,Q,594.5,596.1,592,592.9,593.1,592.35,53,317,188372,
500211,INSILCO LTD.,X ,Q,14.26,14.69,14.1,14.39,14.24,14.97,94,8808,125656,
500213,INTER.TRAVEL,X ,Q,80,80,76.2,78.7,80,79.5,22,1050,82409,
500214,ION EXCHANGE,X ,Q,660,662.5,645,654,654,658.3,279,5622,3678905,
500215,AGRO TECH FO,B ,Q,497.95,504.1,478,486.1,504.1,483.75,171,103803,50140600,
500219,JAIN IRRIG  ,A ,Q,18.4,19.05,18.35,18.8,18.8,18.25,256,87263,1639688,
500220,JASCH INDUST,X ,Q,40.1,40.9,38.5,38.75,38.5,40.1,15,1974,77681,
500223,JCT LTD     ,X ,Q,0.86,0.94,0.86,0.88,0.88,0.89,39,56385,49820,
500227,JINDAL POLYF,B ,Q,230.8,244,229.55,239,237.3,230.8,254,3208,768546,
500228,JSWSL       ,A ,Q,217.1,222.25,213.75,216.25,216.25,214.6,3225,477529,104384588,
500231,UMANG DAIR  ,B ,Q,44.05,47,44.05,46.65,47,44.05,65,179,8033,
500233,KAJARIA CER.,A ,Q,459,487.75,459,483.9,485.65,457.6,1034,31694,15175643,
500234,KAKATIYA CEM,B ,Q,162.3,166.3,162,165.2,165.2,162.55,62,1584,260415,
500235,KALYANI STEL,B ,Q,182.3,183.45,180.05,181.45,180.05,179.55,202,8421,1534127,
500236,KANELIND    ,X ,Q,0.76,0.8,0.76,0.76,0.76,0.8,3,210,160,
500238,WHIRLPOOL   ,A ,Q,1620,1654,1620,1652.7,1642,1626.4,262,2417,3981065,
500239,KG DENIM    ,X ,Q,28.5,29,28.45,28.5,28.5,29.5,10,20995,598580,
500240,KINETIC ENG.,XT,Q,34.3,35.8,32.95,33.65,33.05,34.3,17,3632,122267,
500241,KIRL.BROS.  ,B ,Q,149.8,149.95,146.65,146.8,146.65,146.9,13,120,17700,
500245,KIRL.FERROUS,B ,Q,64.5,64.5,62.3,62.95,63.35,62.1,96,2453,155644,
500247,KOTAK MAH.BK,A ,Q,1429,1441,1405.65,1409.45,1409.45,1426.95,3508,117288,165951579,
500249,KSB         ,B ,Q,590,605.55,590,600.1,599.85,587.85,24,233,138527,
500250,L.G.BALKRISH,B ,Q,327,339.3,324,333.95,332.75,328.1,22,91,30371,
500251,TRENT LTD.  ,A ,Q,469.5,470.7,459.25,461.65,462.75,466.65,230,3019,1400889,
500252,LAXMIMACH   ,A ,Q,3560,3602,3560,3578,3578,3556.25,86,217,778793,
500253,LIC HOUS.FIN,A ,Q,410.05,410.05,389.05,394.6,394.6,410.5,12324,518426,204386523,
500254,UTTAMVALUE  ,T ,Q,0.19,0.19,0.19,0.19,0.19,0.19,7,5586,1061,
500257,LUPIN LTD.  ,A ,Q,747.5,769.85,742.5,765.55,765.55,741.5,3654,104559,79572330,
500259,LYKA LABS   ,B ,Q,15.4,15.5,15.4,15.5,15.5,15.05,52,681,10535,
500260,RAMCOCEM    ,A ,Q,705.15,708.2,695.7,701.65,699.55,704.3,247,3469,2439069,
500264,MAFATLAL IND,X ,Q,73,79,73,79,79,72.6,8,118,9226,
500265,MAH.SEAMLESS,B ,Q,377.3,380,373.25,376.05,376,378.7,55,313,117755,
500266,MAH.SCOOTER ,B ,Q,3817.95,3939.5,3800,3915.65,3939,3796.5,127,355,1369673,
500267,MAJESTIC AUT,X ,Q,113.9,114.85,110.5,114.05,112.2,112,63,4832,546993,
500268,MANALI PETRO,B ,Q,17.5,17.9,17.2,17.3,17.5,17.6,105,12085,212594,
500271,MFSL        ,A ,Q,421.15,421.15,411.15,413.25,412.05,418.3,246,10556,4380222,
500279,MIRC ELECT  ,B ,Q,12.18,12.75,11.7,12.22,12.13,12.2,49,7459,92590,
500280,CENTURY ENKA,B ,Q,172,173,167.95,169.15,169.25,170.05,304,7074,1201357,
500284,LORDS CHLORO,XT,Q,40.15,44.2,40.15,40.15,40.15,42.1,3,42,1690,
500285,SPICEJET LTD,A ,Q,130.45,131.8,128.75,130.15,130.15,130.45,4483,332969,43455786,
500288,MOREPEN LAB.,B ,Q,15.75,15.95,15.7,15.8,15.85,15.55,65,21748,344059,
500290,MRF LTD.    ,A ,Q,58107.1,58200,57600,57706.65,57612,57673.25,197,259,14980990,
500292,HEIDEL CEM  ,A ,Q,197,197,193,194.15,194.15,197.55,338,9239,1792825,
500294,NCC         ,A ,Q,54.85,58.55,54.85,55.9,55.9,54.85,3594,2779372,157651657,
500295,VEDL        ,A ,Q,138.6,142.5,138.35,139.05,139.05,136.75,6210,888040,124359069,
500298,NAT.PEROXIDE,B ,Q,1450.05,1514.9,1443.15,1505.95,1505.95,1448.7,773,5693,8445924,
500300,GRASIM IND. ,A ,Q,707,707,691.95,697.1,697.05,693.95,1235,47188,32937023,
500302,PEL         ,A ,Q,1955.85,1967.25,1922,1938.55,1941.35,1946.7,1689,33656,65258094,
500304,NIIT LTD.   ,B ,Q,93.6,94.5,93.4,93.95,93.55,92.45,494,25717,2416522,
500306,JAYKAY      ,X ,Q,4.3,4.87,4.3,4.84,4.84,4.42,11,1202,5630,
500307,NIRLON      ,B ,Q,205.05,207.7,202,203.65,202.05,202.75,26,5611,1134387,
500312,ONGC CORPN  ,A ,Q,119.1,129.8,119.1,125.2,125.2,119.05,9732,1649311,208169136,
500313,OIL COUNTRY ,B ,Q,7.21,7.21,7.21,7.21,7.21,7.58,6,1272,9171,
500314,ORIENT HOTEL,B ,Q,37.5,37.5,37.5,37.5,37.5,37.6,2,1000,37500,
500315,ORINTAL BANK,A ,Q,66.1,66.85,64.6,65.05,65.05,66.65,875,112048,7331992,
500317,OSWAL AGRO. ,B ,Q,7.28,7.79,6.37,6.69,6.47,6.69,58,1259,8584,
500319,INDIAN SUCRO,XT,Q,16.48,16.48,16.48,16.48,16.48,15.85,1,250,4120,
500325,RELIANCE    ,A ,Q,1208,1213.75,1193.2,1198.3,1198.3,1201.55,12110,503380,605299883,
500327,PILITA      ,B ,Q,5,5.16,4.9,5.15,5.12,4.92,51,85501,430770,
500329,PENTAMED.G  ,XT,Q,0.3,0.3,0.29,0.29,0.29,0.3,12,12661,3685,
500330,RAYMOND     ,A ,Q,588,588,563.5,567.5,571.15,575.5,1203,54143,31042550,
500331,PIDILITE    ,A ,Q,1360,1372.6,1357.5,1369.4,1369.4,1359.3,565,10217,13965909,
500333,PIX TRANS   ,X ,Q,131.7,133.8,126,127.7,127.7,129.4,50,4780,618846,
500335,BIRLA CORPN.,A ,Q,539,541,534.75,537.2,537.2,531.8,457,1950,1048796,
500336,SURYA ROSHNI,B ,Q,158,162.35,155.5,159.9,162.35,153.75,247,6002,949974,
500337,PRIME SECUR.,B ,Q,33.5,34.7,33.2,33.55,33.55,34.3,40,1751,59069,
500338,PRSMJOHNSN  ,A ,Q,86,87.3,86,86.9,86.5,86.45,243,5179,448289,
500339,RAIN        ,A ,Q,82,84.8,81.4,84.25,84.65,81.1,1002,73447,6106810,
500343,AMJLAND     ,B ,Q,17.9,17.9,16,16.75,16.85,16.4,123,240,4061,
500346,PUN.COMMUNI.,B ,Q,12.21,12.67,11.55,12.67,12.67,12.15,7,1413,16332,
500350,RSWM  LTD   ,B ,Q,110,120.95,110,112.5,112.4,108.5,414,4935,567255,
500354,RAJSH.SUGAR ,T ,Q,18.9,18.9,18.9,18.9,18.9,18.05,1,5,94,
500355,RALLIS INDIA,A ,Q,155.25,157.45,155.25,157.15,157.45,156.6,287,2091,327824,
500356,RAMANEWS    ,B ,Q,15,15,14.41,14.5,14.5,14.5,7,234,3459,
500357,RAMA PAPER  ,X ,Q,18.55,20,18.5,19.1,18.5,20,18,1712,32342,
500360,RAPICUT CARB,X ,Q,43.8,43.8,40.6,42,42,41.2,9,160,6537,
500365,RMGALLOY    ,X ,Q,10.25,10.47,9.93,10.13,10.13,10.45,30,12109,121513,
500366,ROLTA (I)   ,T ,Q,5.62,6.15,5.62,5.99,6,5.86,106,69262,414343,
500367,RUBFILA INT.,X ,Q,34.2,35.15,34.2,35.1,35.1,34.25,33,5820,203003,
500368,RUCHI SOYA  ,B ,Q,4.66,4.66,4.3,4.58,4.56,4.45,172,154914,698521,
500378,JINDAL SAW  ,A ,Q,70,70.45,68.6,69.1,69.1,68.2,1112,111880,7774817,
500380,JK LAKSHMI  ,A ,Q,321,321,315.25,317.65,316.5,321.9,68,541,171884,
500387,SHREE CEMENT,A ,Q,17787.05,18008.6,17490,17597.8,17590.15,17724.6,182,258,4577762,
500390,REL INFRA   ,A ,Q,36.15,38,34.8,37.3,37.3,35.9,6045,2611526,95972740,
500400,TATA POWER  ,A ,Q,54,55.7,53.9,55.3,55.25,54.15,1097,521446,28612523,
500402,SPMLINFRA   ,B ,Q,14.05,14.05,13.49,13.51,13.55,14.2,18,2553,34660,
500403,SUNDARAM FAS,A ,Q,427.2,427.2,423.35,424.85,423.6,423.9,70,387,164584,
500404,SUNFLAG IRON,B ,Q,26,26,25.5,25.55,25.5,25.65,22,1685,43224,XD
500405,SUPREME PET ,B ,Q,174,174,169.15,170.85,170.85,175.55,68,402,69448,
500407,SWARAJ ENGIN,B ,Q,1175.6,1189.95,1151.05,1185.95,1187.05,1168.9,24,57,67200,
500408,TATA ELXSI  ,A ,Q,615.95,621.45,613,618.7,618.7,610.2,1085,44842,27721524,
500410,ACC LTD     ,A ,Q,1445,1465.6,1437.85,1461.4,1461.4,1441.2,1265,20940,30474688,
500411,THERMAX     ,A ,Q,1000.65,1009.15,985.5,989.5,985.65,998.35,261,1551,1546688,
500412,THIRUMALAI  ,B ,Q,58,58.9,57.75,58.65,58.65,57.95,73,5719,333109,
500413,THOMAS COOK ,A ,Q,143.9,145.95,142.15,144.9,145,143.85,115,2729,391102,
500414,TIMEX GROUP ,X ,Q,35.4,37.25,35.4,36.55,36.55,35.75,28,2552,92598,
500418,TOKYO PLAST ,B ,Q,51.35,51.35,51.35,51.35,51.35,53,1,2,102,
500420,TORRENT PHAR,A ,Q,1699.7,1732.3,1692.9,1713.6,1717.5,1690.6,361,6187,10608889,
500422,TRANSCHEM   ,X ,Q,14.8,14.8,14.8,14.8,14.8,14.3,1,5,74,
500425,AMBUJA CEME ,A ,Q,192,193.65,190.6,193.25,193.25,191,1243,93543,18010489,
500439,VARD HOLDNG ,B ,Q,1488.9,1488.9,1472,1472,1472,1475.25,3,15,22163,
500440,HINDALCO    ,A ,Q,182,188.45,181.95,184.65,184.6,181.55,1616,286546,52866034,
500444,WEST COAS PA,B ,Q,222.85,230.8,221.55,229.4,230.8,223.95,457,5367,1220171,
500449,HIND.ORG.CHM,B ,Q,12.3,13.7,12.3,13.38,13.38,12.87,174,28641,383012,
500456,PAS.ACRYLON ,X ,Q,14.11,14.55,14,14.18,14.18,14.57,52,12194,173621,
500459,PROCTER &GAM,A ,Q,10093.6,10118.4,10037.8,10070.2,10100,10077.3,73,102,1028082,
500460,MUKAND LTD. ,T ,Q,32.45,34.3,32.45,32.45,32.45,34,3,360,11700,
500464,UCAL FUEL   ,B ,Q,129.4,131,128.6,129,128.6,128.1,202,2278,296148,
500467,HARR.MALAYAL,B ,Q,49.65,50.1,48.45,48.8,48.45,49.35,108,6875,339612,
500469,FEDERAL BANK,A ,Q,81.95,82.9,80.55,81,81,81.95,1432,565097,46086676,
500470,TATA STEEL  ,A ,Q,345.2,352,342.5,345,345,339.35,9247,931266,322927286,
500472,SKF INDIA   ,A ,Q,1871.7,1892.25,1868.75,1878.55,1878.65,1875.6,36,147,275986,
500477,ASHOK LEYL. ,A ,Q,62.9,63.55,62.3,63.1,63.1,62.6,3369,1327555,83733749,
500480,CUMMINS (I) ,A ,Q,563.85,569,560,566.3,565.7,564.15,365,3994,2260792,
500483,TATA COMM   ,A ,Q,439,442.8,425.25,427.3,426,426.1,735,16857,7247857,
500488,ABBOTT (I)  ,A ,Q,9550.95,9550.95,9420,9486.85,9529.3,9510.45,152,236,2236452,
500490,BAJ HOLD INV,A ,Q,3323,3326,3296,3319.45,3316.4,3299.75,63,231,766059,
500493,BHARAT FORGE,A ,Q,382.3,397.05,382.3,394.1,393,382.3,1142,54947,21537575,
500495,ESCORTS LTD.,A ,Q,460,473.2,460,470.85,470.85,458.3,2802,169469,79165476,
500500,HIND.MOTORS ,B ,Q,5.55,5.9,5.26,5.73,5.68,5.51,55,19308,110089,
500510,LARSEN & TOU,A ,Q,1315,1337.4,1309,1320.45,1320.45,1309.95,5005,108337,143173849,
500520,MAH & MAH   ,A ,Q,520,520,508.15,516.95,516.95,505.65,1608,68749,35418618,
500530,BOSCH LTD   ,A ,Q,13412.1,13649.8,13412.1,13590.9,13532.1,13399,132,263,3568091,
500540,PREMIER LTD ,T ,Q,2.62,2.79,2.62,2.79,2.79,2.75,5,2005,5337,
500547,BHARAT PET. ,A ,Q,363.9,386,361,381.5,381.5,363.5,7722,609837,230907042,
500550,SIEMENS LTD.,A ,Q,1167.05,1182,1164.5,1169.85,1169.85,1167.05,506,16931,19857946,
500570,TATA MOTORS ,A ,Q,110,119.2,109.5,118.05,118.05,109.5,21931,5909050,681239488,
500575,VOLTAS LTD  ,A ,Q,621.9,632.7,621.9,630.25,630.15,621.9,761,37379,23475460,
500620,GREAT EASTE ,A ,Q,243,244,238,242.05,243,243.3,169,2287,549332,
500645,DEEPAK FERT.,A ,Q,80.05,82,79.3,80.5,80.4,79.85,808,13303,1077701,
500650,EXCEL INDUST,B ,Q,839,839,811,823.15,822.4,821.5,130,829,685029,
500655,GARWARE POLY,X ,Q,234.9,234.9,226.5,228.6,226.5,231.45,85,2766,634169,
500660,GLAXOSMITH  ,A ,Q,1251.8,1258,1240.8,1249.85,1257,1249.9,382,2559,3204809,
500670,GUJ.NARMADA ,A ,Q,175.1,181.75,175.1,177.2,177.2,174.7,987,18194,3248857,
500672,NOVARTIS    ,B ,Q,574.7,590,570,586.3,584,570.2,476,8085,4721757,
500674,SANOFI      ,A ,Q,6171.05,6264.65,6150,6189.15,6151,6138.95,113,214,1328343,
500676,GLAXOSMITHKL,A ,Q,7925,7925,7861.75,7890.75,7914.65,7945.2,66,126,993884,
500680,PFIZER LTD. ,A ,Q,2973,3030,2973,2999.1,2975.85,2951.65,165,382,1147041,
500690,GUJ.ST.FERT ,A ,Q,74.65,76.8,74.65,76.1,76.15,74.45,593,45166,3419896,
500696,HIND UNI LT ,A ,Q,1845,1845,1818.65,1829.35,1829.35,1847.25,1692,30618,55956874,
500710,AKZOINDIA   ,A ,Q,1710,1717,1698.35,1701.15,1699.85,1707.2,86,227,387512,
500730,NOCIL LTD   ,A ,Q,86.5,86.9,85,85.55,85.55,85.85,1141,48573,4171453,
500770,TATA CHEM.  ,A ,Q,574.05,584.95,573.55,578.55,577.9,573.8,963,17603,10215509,
500777,T.P.L.      ,B ,Q,31.7,31.7,31.15,31.3,31.3,31.2,79,7968,250039,
500780,ZUARIGLOB   ,B ,Q,63.1,65,62.7,63.9,63.8,63.8,40,1478,93811,
500790,NESTLE (I)  ,A ,Q,12580.75,12668.7,12515,12604.05,12604.05,12465.15,604,1895,23885057,
500800,TATAGLOBAL  ,A ,Q,268.35,269.1,263.65,264.55,264.55,266.95,613,64038,17054814,
500820,ASIAN PAINTS,A ,Q,1537.6,1545.8,1516,1520.15,1518.55,1534.9,1927,37331,57005748,
500825,BRITANIA IND,A ,Q,2655,2705,2648,2679.6,2679.95,2636.15,1472,16465,44198747,
500830,COLGATE PALM,A ,Q,1250,1253,1238.45,1240.2,1240,1244.85,291,6623,8254758,
500840,EIH LTD.    ,A ,Q,156.75,158.4,156.1,157.65,157.65,157.65,78,2098,330304,
500850,INDIAN HOTEL,A ,Q,138,138,128,131.7,131.7,133.05,1217,105137,13623462,
500870,CASTROL     ,A ,Q,120.8,123.45,119.8,120.45,120.45,120.3,550,47951,5847516,
500875,ITC LTD.    ,A ,Q,242.3,246.85,242.15,244.35,244.35,243.15,3417,326352,79686064,
500877,APOLLO TYRES,A ,Q,175.85,175.85,173,173.7,173.7,175.85,1000,111358,19401031,
500878,CEAT LIMITED,A ,Q,893,911,885.25,906.85,909.55,893.3,781,16496,14833506,
500940,FINOLEX IND.,A ,Q,501.25,502.75,486,500.05,500,502,181,5743,2840848,
501148,DALAL ST INV,XT,Q,170,170,170,170,170,172,2,5,850,
501150,CENTRUM CAP ,A ,Q,25.35,25.35,23.9,24.35,24.65,25.2,111,21869,536496,
501242,TCI FINANCE ,B ,Q,10.29,10.4,10.29,10.4,10.4,10.2,3,1000,10387,
501295,INDUS.INV.TR,B ,Q,52,71,52,61.9,61.9,61.1,24,40,2558,
501301,TATA INVEST.,A ,Q,756.05,760.35,754.2,755.2,754.3,755.25,92,266,201231,
501314,GROMOTRADE  ,X ,Q,205.8,205.8,205.8,205.8,205.8,216.6,5,11,2263,
501343,MOTOR&GEN.FI,T ,Q,40,40,40,40,40,38.5,1,30,1200,
501370,WALCHAND PF ,X ,Q,55.2,55.2,50.8,51.15,51.2,52.75,4,29,1584,
501391,W.H.BRADY   ,X ,Q,100.8,100.8,100.8,100.8,100.8,96,1,1,100,
501423,SHA ENG PLA ,X ,Q,624.95,624.95,610.05,619.4,620,620.7,65,2328,1442020,
501425,BOM.BURMAH  ,A ,Q,913.65,980.5,910,968.05,968.05,905.4,4845,67281,64050899,
501430,BOM.CYCLE   ,X ,Q,1050.7,1050.7,1006,1049.9,1049.9,1000.7,7,18,18426,
501455,GREAVES COTT,A ,Q,121.55,127,120.75,124.05,123.3,121.4,220,8349,1034372,
501700,INDIA NIVEH ,X ,Q,65.45,65.65,65.45,65.6,65.55,65.5,77,18763,1230563,
501831,COAST CORP  ,X ,Q,219.8,219.8,210,211.55,215,212.75,88,5455,1159936,
501833,CHOWGULE ST ,XT,Q,4.4,4.52,4.4,4.52,4.52,4.31,3,1149,5070,
501848,GLOBAL OFFS ,B ,Q,6.06,6.44,6.06,6.1,6.1,6.46,6,13000,80050,
502015,ASIIL       ,X ,Q,11.8,12.2,11.51,12.09,12.09,11.37,38,15097,181168,
502090,SAGAR CEM.  ,B ,Q,560,568,545.2,560,558.65,558.45,44,256,143626,
502137,DECAN CEMENT,B ,Q,361.4,361.4,361.4,361.4,361.4,360.55,1,6,2168,
502157,MANGALAM CEM,B ,Q,255,257.45,252.75,257,257,247.75,8,48,12214,
502168,N C L IND.  ,B ,Q,109.9,109.9,104.4,108.2,108.2,106.5,47,749,80424,
502175,SAURAS.CEM. ,X ,Q,37.7,37.7,33.2,34.35,34.35,33.4,57,5581,194108,
502180,SRI DIGV CEM,X ,Q,15.5,15.75,15.45,15.55,15.6,15.45,26,8726,135567,
502219,BOROSIL GLAS,B ,Q,133.05,137.35,132.5,134.85,135.1,131,432,21021,2842716,
502281,TRIVENI GLAS,XT,Q,5.32,5.4,5.32,5.4,5.4,5.6,24,2775,14772,
502330,IPAPPM      ,B ,Q,446.25,447.4,446,446.35,446.3,446.05,149,9248,4128160,
502355,BALKRISH IND,A ,Q,715.85,728,713.3,724.75,722.85,720.4,517,14910,10770140,
